Volatility 3 Framework 2.26.1

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531993	systemd	1	1	8	0x88003b422000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531993	systemd	1	1	14	0x88003700f000	AF_UNIX	STREAM	-	/run/systemd/private	8788	-	-	LISTEN	-
4026531993	systemd	1	1	17	0x88003ab35000	AF_UNIX	DGRAM	-	-	54269	/run/systemd/journal/socket	8805	UNCONNECTED	-
4026531993	systemd	1	1	22	0x88003700f400	AF_UNIX	DGRAM	-	/run/systemd/notify	8787	-	-	UNCONNECTED	-
4026531993	systemd	1	1	24	0x880036498800	AF_UNIX	STREAM	-	/var/run/dbus/system_bus_socket	13405	-	-	LISTEN	-
4026531993	systemd	1	1	25	0x88003649a800	AF_UNIX	STREAM	-	/run/uuidd/request	13408	-	-	LISTEN	-
4026531993	systemd	1	1	26	0x8800154dd800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	54483	-	54482	ESTABLISHED	-
4026531993	systemd	1	1	29	0x88003b423000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	2313122220	group:0x00000000	0	UNCONNECTED	-
4026531993	systemd	1	1	30	0x8800366b7800	AF_UNIX	STREAM	-	/run/acpid.socket	13398	-	-	LISTEN	-
4026531993	systemd	1	1	31	0x88003700ec00	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	8794	-	-	UNCONNECTED	-
4026531993	systemd	1	1	33	0x88003cd52400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	110298	-	110294	ESTABLISHED	-
4026531993	systemd	1	1	34	0x88003bf9fc00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	9631	-	9630	ESTABLISHED	-
4026531993	systemd	1	1	35	0x8800364b3800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	10165	-	10164	ESTABLISHED	-
4026531993	systemd	1	1	36	0x8800366b4c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	11050	-	11049	ESTABLISHED	-
4026531993	systemd	1	1	37	0x8800366c1000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15855	-	13696	ESTABLISHED	-
4026531993	systemd	1	1	38	0x8800364ed000	AF_NETLINK	RAW	NETLINK_AUDIT	-	2930670031	group:0x00000000	0	UNCONNECTED	-
4026531993	systemd	1	1	39	0x880036532c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15862	-	13794	ESTABLISHED	-
4026531993	systemd	1	1	40	0x880036701000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15863	-	13932	ESTABLISHED	-
4026531993	systemd	1	1	41	0x880036706c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15875	-	14003	ESTABLISHED	-
4026531993	systemd	1	1	42	0x88003ca4ac00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15882	-	14145	ESTABLISHED	-
4026531993	systemd	1	1	43	0x880036534800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15916	-	15791	ESTABLISHED	-
4026531993	systemd	1	1	47	0x88003ac83c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17778	-	17777	ESTABLISHED	-
4026531993	systemd	1	1	52	0x8800366c1400	AF_UNIX	STREAM	-	-	13697	/var/run/dbus/system_bus_socket	13735	ESTABLISHED	-
4026531993	systemd	1	1	53	0x88003a904c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	8804	-	-	LISTEN	-
4026531993	systemd	1	1	54	0x88003a905000	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	8805	-	-	UNCONNECTED	-
4026531993	systemd	1	1	55	0x88003700e400	AF_UNIX	SEQPACKET	-	/run/udev/control	8793	-	-	UNCONNECTED	-
4026531993	systemd	1	1	56	0x880036d96400	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	8802	-	-	LISTEN	-
4026531993	systemd	1	1	57	0x8800364ec000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531993	systemd	1	1	60	0x880036d96000	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	8801	-	-	UNCONNECTED	-
4026531993	systemd	1	1	61	0x8800366b5400	AF_UNIX	STREAM	-	/var/lib/lxd/unix.socket	13397	-	-	LISTEN	-
4026531993	systemd	1	1	84	0x88003dd9dc00	AF_UNIX	STREAM	-	/run/lvm/lvmetad.socket	8800	-	-	LISTEN	-
4026531993	systemd	1	1	86	0x88003bcdb800	AF_UNIX	STREAM	-	/run/snapd.socket	26985	-	-	LISTEN	-
4026531993	systemd	1	1	87	0x88003bcd8000	AF_UNIX	STREAM	-	/run/snapd-snap.socket	26986	-	-	LISTEN	-
4026531993	systemd-journal	413	413	3	0x88003a904c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	8804	-	-	LISTEN	-
4026531993	systemd-journal	413	413	4	0x88003a905000	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	8805	-	-	UNCONNECTED	-
4026531993	systemd-journal	413	413	5	0x8800364ec000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531993	systemd-journal	413	413	6	0x880036d96000	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	8801	-	-	UNCONNECTED	-
4026531993	systemd-journal	413	413	14	0x88003be5ec00	AF_UNIX	DGRAM	-	-	9345	/run/systemd/notify	8787	UNCONNECTED	-
4026531993	systemd-journal	413	413	17	0x88003bf9fc00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	9631	-	9630	ESTABLISHED	-
4026531993	systemd-journal	413	413	18	0x8800364b3800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	10165	-	10164	ESTABLISHED	-
4026531993	systemd-journal	413	413	19	0x880036532c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15862	-	13794	ESTABLISHED	-
4026531993	systemd-journal	413	413	20	0x880036701000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15863	-	13932	ESTABLISHED	-
4026531993	systemd-journal	413	413	21	0x8800366c1000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15855	-	13696	ESTABLISHED	-
4026531993	systemd-journal	413	413	22	0x8800366b4c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	11050	-	11049	ESTABLISHED	-
4026531993	systemd-journal	413	413	23	0x880036706c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15875	-	14003	ESTABLISHED	-
4026531993	systemd-journal	413	413	24	0x88003ac83c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17778	-	17777	ESTABLISHED	-
4026531993	systemd-journal	413	413	25	0x88003ca4ac00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15882	-	14145	ESTABLISHED	-
4026531993	systemd-journal	413	413	26	0x8800154dd800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	54483	-	54482	ESTABLISHED	-
4026531993	systemd-journal	413	413	27	0x88003cd52400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	110298	-	110294	ESTABLISHED	-
4026531993	systemd-journal	413	413	29	0x880036534800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15916	-	15791	ESTABLISHED	-
